colour	y	x	key	tooltip	clickSelects	showSelected1	showSelected2	fill
#00BFFF	2	-1.47189334173557	rpart2	rpart fold 2 MSE=0.034	2	rpart	sin hard 56	#00BFFF
#00BFFF	2	-1.4909298212051	rpart2	rpart fold 2 MSE=0.032	2	rpart	sin hard 100	#00BFFF
#00BFFF	2	-1.48032099777416	rpart2	rpart fold 2 MSE=0.033	2	rpart	sin hard 178	#00BFFF
#00BFFF	2	-1.53430414335836	rpart2	rpart fold 2 MSE=0.029	2	rpart	sin hard 316	#00BFFF
#00BFFF	2	-1.53716587771788	rpart2	rpart fold 2 MSE=0.029	2	rpart	sin hard 562	#00BFFF
#00BFFF	2	-1.56544376299331	rpart2	rpart fold 2 MSE=0.027	2	rpart	sin hard 1000	#00BFFF
#00BFFF	2	-1.52154806050629	rpart3	rpart fold 3 MSE=0.030	3	rpart	sin hard 10	#00BFFF
#00BFFF	2	-1.53188205348082	rpart3	rpart fold 3 MSE=0.029	3	rpart	sin hard 18	#00BFFF
#00BFFF	2	-1.44771001063096	rpart3	rpart fold 3 MSE=0.036	3	rpart	sin hard 32	#00BFFF
#00BFFF	2	-1.47086517341202	rpart3	rpart fold 3 MSE=0.034	3	rpart	sin hard 56	#00BFFF
#00BFFF	2	-1.57808821200695	rpart3	rpart fold 3 MSE=0.026	3	rpart	sin hard 100	#00BFFF
#00BFFF	2	-1.57625772415456	rpart3	rpart fold 3 MSE=0.027	3	rpart	sin hard 178	#00BFFF
#00BFFF	2	-1.59174423296616	rpart3	rpart fold 3 MSE=0.026	3	rpart	sin hard 316	#00BFFF
#00BFFF	2	-1.58739859358753	rpart3	rpart fold 3 MSE=0.026	3	rpart	sin hard 562	#00BFFF
#00BFFF	2	-1.60597194593036	rpart3	rpart fold 3 MSE=0.025	3	rpart	sin hard 1000	#00BFFF
#00BFFF	2	-1.38906953949284	rpart4	rpart fold 4 MSE=0.041	4	rpart	sin hard 10	#00BFFF
#00BFFF	2	-1.46424582795482	rpart4	rpart fold 4 MSE=0.034	4	rpart	sin hard 18	#00BFFF
#00BFFF	2	-1.44976182261742	rpart4	rpart fold 4 MSE=0.036	4	rpart	sin hard 32	#00BFFF
#00BFFF	2	-1.53323030824908	rpart4	rpart fold 4 MSE=0.029	4	rpart	sin hard 56	#00BFFF
#00BFFF	2	-1.5581464482789	rpart4	rpart fold 4 MSE=0.028	4	rpart	sin hard 100	#00BFFF
#00BFFF	2	-1.59160849258645	rpart4	rpart fold 4 MSE=0.026	4	rpart	sin hard 178	#00BFFF
#00BFFF	2	-1.59484477102523	rpart4	rpart fold 4 MSE=0.025	4	rpart	sin hard 316	#00BFFF
#00BFFF	2	-1.59171923029211	rpart4	rpart fold 4 MSE=0.026	4	rpart	sin hard 562	#00BFFF
#00BFFF	2	-1.61238835857041	rpart4	rpart fold 4 MSE=0.024	4	rpart	sin hard 1000	#00BFFF
#00BFFF	2	-1.43150854612717	rpart5	rpart fold 5 MSE=0.037	5	rpart	sin hard 10	#00BFFF
#00BFFF	2	-1.53410962804707	rpart5	rpart fold 5 MSE=0.029	5	rpart	sin hard 18	#00BFFF
#00BFFF	2	-1.42623987421952	rpart5	rpart fold 5 MSE=0.037	5	rpart	sin hard 32	#00BFFF
#00BFFF	2	-1.55959076120685	rpart5	rpart fold 5 MSE=0.028	5	rpart	sin hard 56	#00BFFF
#00BFFF	2	-1.58444503297977	rpart5	rpart fold 5 MSE=0.026	5	rpart	sin hard 100	#00BFFF
#00BFFF	2	-1.59928678073335	rpart5	rpart fold 5 MSE=0.025	5	rpart	sin hard 178	#00BFFF
#00BFFF	2	-1.59219210079388	rpart5	rpart fold 5 MSE=0.026	5	rpart	sin hard 316	#00BFFF
#00BFFF	2	-1.59872916773468	rpart5	rpart fold 5 MSE=0.025	5	rpart	sin hard 562	#00BFFF
#00BFFF	2	-1.60134831610526	rpart5	rpart fold 5 MSE=0.025	5	rpart	sin hard 1000	#00BFFF
#00BFFF	2	-1.50739932607334	rpart6	rpart fold 6 MSE=0.031	6	rpart	sin hard 10	#00BFFF
#00BFFF	2	-1.53312796437641	rpart6	rpart fold 6 MSE=0.029	6	rpart	sin hard 18	#00BFFF
#00BFFF	2	-1.500312420388	rpart6	rpart fold 6 MSE=0.032	6	rpart	sin hard 32	#00BFFF
#00BFFF	2	-1.52922493214154	rpart6	rpart fold 6 MSE=0.030	6	rpart	sin hard 56	#00BFFF
#00BFFF	2	-1.5453486797005	rpart6	rpart fold 6 MSE=0.028	6	rpart	sin hard 100	#00BFFF
#00BFFF	2	-1.62282620201777	rpart6	rpart fold 6 MSE=0.024	6	rpart	sin hard 178	#00BFFF
#00BFFF	2	-1.63332124937853	rpart6	rpart fold 6 MSE=0.023	6	rpart	sin hard 316	#00BFFF
#00BFFF	2	-1.63374751298353	rpart6	rpart fold 6 MSE=0.023	6	rpart	sin hard 562	#00BFFF
#00BFFF	2	-1.65469796696027	rpart6	rpart fold 6 MSE=0.022	6	rpart	sin hard 1000	#00BFFF
#FF0000	1	-1.52600626621449	featureless1	featureless fold 1 MSE=0.030	1	featureless	sin hard 10	#FF0000
#FF0000	1	-1.51349576207074	featureless1	featureless fold 1 MSE=0.031	1	featureless	sin hard 18	#FF0000
#FF0000	1	-1.52663439000177	featureless1	featureless fold 1 MSE=0.030	1	featureless	sin hard 32	#FF0000
#FF0000	1	-1.52743458932861	featureless1	featureless fold 1 MSE=0.030	1	featureless	sin hard 56	#FF0000
#FF0000	1	-1.5266061497577	featureless1	featureless fold 1 MSE=0.030	1	featureless	sin hard 100	#FF0000
#FF0000	1	-1.52722115982572	featureless1	featureless fold 1 MSE=0.030	1	featureless	sin hard 178	#FF0000
#FF0000	1	-1.52598748225326	featureless1	featureless fold 1 MSE=0.030	1	featureless	sin hard 316	#FF0000
#FF0000	1	-1.52573214758792	featureless1	featureless fold 1 MSE=0.030	1	featureless	sin hard 562	#FF0000
